,origin,dest
983,R44,R43
984,M12,M11
985,M12,M13
986,R40,R41
987,R40,R39
988,M20,639
989,M20,639
990,M20,M21
991,M20,M19
992,M20,Q01
993,M20,Q01
994,M20,Q01
995,M20,Q01
996,M20,R23
997,M20,R23
998,M20,R23
999,M20,R23
1000,R42,R41
1001,R42,R43
1002,M21,640
1003,M21,640
1004,M21,640
1005,M21,640
1006,M21,640
1007,M21,640
1008,M21,M20
1009,M21,M22
1010,B04,G14
1011,B04,B06
1012,B06,B08
1013,B06,B04
1014,B08,R14
1015,B08,R11
1016,B08,R11
1017,B08,R11
1018,B08,R11
1019,B08,R11
1020,B08,R11
1021,B08,629
1022,B08,629
1023,B08,629
1024,B08,629
1025,B08,629
1026,B08,629
1027,B08,B06
1028,B08,B10
1029,B08,Q03
1030,D14,F12
1031,D14,D15
1032,D14,D15
1033,D14,A24
1034,D14,A24
1035,D14,A25
1036,D15,D14
1037,D15,D14
1038,D15,D16
1039,D15,D16
1040,D15,D16
1041,D15,B10
1042,D16,D15
1043,D16,D15
1044,D16,D15
1045,D16,724
1046,D16,724
1047,D16,724
1048,D16,724
1049,D16,D17
1050,D16,D17
1051,D16,D17
1052,D17,D20
1053,D17,D20
1054,D17,D16
1055,D17,D16
1056,D17,D16
1057,D17,D18
1058,D17,R17
1059,D17,R17
1060,D17,R17
1061,D17,R17
1062,D17,R17
1063,D17,R17
1064,D17,R17
1065,D17,R17
1066,D17,R17
1067,D17,R17
1068,D17,R17
1069,D17,R17
1070,D17,R17
1071,D17,R17
1072,D17,R17
1073,D17,R17
1074,D10,D11
1075,D10,D09
1076,D11,414
1077,D11,414
1078,D11,D10
1079,D11,D12
1080,D12,D11
1081,D12,D13
1082,D13,A15
1083,D13,A14
1084,D13,D12
1085,D13,A12
1086,D13,A12
1087,D13,A12
1088,D13,A12
1089,D18,D17
1090,D18,D19
1091,D19,D20
1092,D19,D18
1093,D19,L02
1094,D19,L02
1095,D19,132
1096,D19,132
1097,D19,132
1098,D19,132
1099,D19,132
1100,D19,132
1101,252,253
1102,252,251
1103,253,252
1104,253,254
1105,250,251
1106,250,249
1107,250,239
1108,251,252
1109,251,250
1110,256,257
1111,256,255
1112,257,256
1113,254,253
1114,254,L26
1115,254,255
1116,255,256
1117,255,254
1118,S19,S20
1119,S19,S18
1120,S18,S19
1121,S18,S17
1122,S13,S11
1123,S13,S14
1124,S11,S13
1125,S11,S09
1126,S17,S18
1127,S17,S16
1128,S16,S17
1129,S16,S15
1130,S15,S16
1131,S15,S14
1132,S14,S13
1133,S14,S15
1134,504,505
1135,504,503
1136,505,504
1137,505,213
1138,502,503
1139,502,501
1140,503,504
1141,503,502
1142,501,502
1143,630,631
1144,630,629
1145,630,F11
1146,630,F11
1147,631,630
1148,631,632
1149,631,901
1150,631,901
1151,631,901
1152,631,635
1153,631,635
1154,631,629
1155,631,629
1156,631,723
1157,631,723
1158,631,723
1159,632,631
1160,632,633
1161,633,632
1162,633,634
1163,634,633
1164,634,635
1165,635,631
1166,635,631
1167,635,634
1168,635,636
1169,635,L03
1170,635,L03
1171,635,L03
1172,635,640
1173,635,640
1174,635,R20
1175,635,R20
1176,635,R20
1177,635,R20
1178,635,R20
1179,635,R20
1180,635,R20
1181,635,R20
1182,635,R20
1183,635,R20
1184,635,R20
1185,635,R20
1186,636,635
1187,636,637
1188,637,638
1189,637,D21
1190,637,D21
1191,637,D21
1192,637,D21
1193,637,636
1194,638,639
1195,638,637
1196,639,638
1197,639,640
1198,639,Q01
1199,639,Q01
1200,639,M20
1201,639,M20
1202,639,R23
1203,639,R23
1204,A20,A21
1205,A20,A21
1206,A20,A19
1207,A20,A19
1208,A21,A20
1209,A21,A20
1210,A21,A22
1211,A21,A22
1212,A22,A21
1213,A22,A21
1214,A22,A24
1215,A22,A24
1216,A24,A15
1217,A24,A15
1218,A24,D14
1219,A24,D14
1220,A24,A22
1221,A24,A22
1222,A24,A25
1223,A24,A27
1224,A24,125
1225,A24,125
1226,A24,125
1227,A24,125
1228,A25,D14
1229,A25,A24
1230,A25,A27
1231,A25,A27
1232,A27,902
1233,A27,902
1234,A27,902
1235,A27,R16
1236,A27,R16
1237,A27,R16
1238,A27,R16
1239,A27,R16
1240,A27,R16
1241,A27,R16
1242,A27,R16
1243,A27,R16
1244,A27,R16
1245,A27,R16
1246,A27,R16
1247,A27,A24
1248,A27,A25
1249,A27,A25
1250,A27,A28
1251,A27,A28
1252,A27,A28
1253,A27,725
1254,A27,725
1255,A27,725
1256,A27,127
1257,A27,127
1258,A27,127
1259,A27,127
1260,A27,127
1261,A27,127
1262,A27,127
1263,A27,127
1264,A27,127
1265,A28,A31
1266,A28,A30
1267,A28,A30
1268,A28,A27
1269,A28,A27
1270,A28,A27
1271,R32,R31
1272,R32,R33
1273,R33,R34
1274,R33,F23
1275,R33,F23
1276,R33,R32
1277,M06,M05
1278,M06,M08
1279,M04,M05
1280,M04,M01
1281,M05,M06
1282,M05,M04
1283,M01,M04
1284,M08,M06
1285,M08,L17
1286,G31,G30
1287,G31,G32
1288,G30,G31
1289,G30,G29
1290,G33,G32
1291,G33,G34
1292,G32,G31
1293,G32,G33
1294,G35,G34
1295,G35,G36
1296,G34,G33
1297,G34,G35
1298,G36,A42
1299,G36,G35
1300,E01,228
1301,E01,228
1302,E01,A36
1303,E01,A36
1304,E01,A34
1305,216,217
1306,216,217
1307,216,215
1308,216,215
1309,217,216
1310,217,216
1311,217,218
1312,217,218
1313,214,215
1314,214,215
1315,214,213
1316,214,213
1317,215,216
1318,215,216
1319,215,214
1320,215,214
1321,212,213
1322,212,211
1323,213,214
1324,213,214
1325,213,505
1326,213,212
1327,210,209
1328,210,211
1329,211,212
1330,211,210
1331,218,217
1332,218,217
1333,218,219
1334,218,219
1335,219,218
1336,219,218
1337,219,220
1338,219,220
1339,F30,F31
1340,F30,F29
1341,F31,F30
1342,F31,F32
1343,F32,F31
1344,F32,F33
1345,F33,F32
1346,F33,F34
1347,F34,F33
1348,F34,F35
1349,F35,F34
1350,F35,F36
1351,F36,F38
1352,F36,F35
1353,F38,F39
1354,F38,F36
1355,F39,F38
1356,F39,D42
1357,A64,A65
1358,A64,A63
1359,A65,A64
1360,A60,A59
1361,A60,A61
1362,A61,A60
1363,A61,A63
1364,A63,A64
1365,A63,A61
1366,H09,H10
1367,H09,H08
1368,H08,H09
1369,H08,H07
1370,H03,H02
1371,H03,H04
1372,H02,H03
1373,H02,H01
1374,H01,A61
1375,H07,H08
1376,H07,H06
1377,H06,H07
1378,H06,H04
1379,H04,H03
1380,H04,H12
1381,H04,H06
1382,115,114
1383,115,116
1384,114,115
1385,114,113
1386,117,116
1387,117,118
1388,116,115
1389,116,117
1390,111,110
1391,111,112
1392,110,109
1393,110,111
1394,113,114
1395,113,112
1396,112,A09
1397,112,A09
1398,112,111
1399,112,113
1400,119,120
1401,119,118
1402,118,117
1403,118,119
1404,R16,902
1405,R16,902
1406,R16,902
1407,R16,902
1408,R16,R17
1409,R16,R17
1410,R16,R17
1411,R16,R14
1412,R16,R15
1413,R16,R15
1414,R16,A27
1415,R16,A27
1416,R16,A27
1417,R16,A27
1418,R16,A27
1419,R16,A27
1420,R16,A27
1421,R16,A27
1422,R16,A27
1423,R16,A27
1424,R16,A27
1425,R16,A27
1426,R16,725
1427,R16,725
1428,R16,725
1429,R16,725
1430,R16,127
1431,R16,127
1432,R16,127
1433,R16,127
1434,R16,127
1435,R16,127
1436,R16,127
1437,R16,127
1438,R16,127
1439,R16,127
1440,R16,127
1441,R16,127
1442,R17,R16
1443,R17,R16
1444,R17,R16
1445,R17,D17
1446,R17,D17
1447,R17,D17
1448,R17,D17
1449,R17,D17
1450,R17,D17
1451,R17,D17
1452,R17,D17
1453,R17,D17
1454,R17,D17
1455,R17,D17
1456,R17,D17
1457,R17,D17
1458,R17,D17
1459,R17,D17
1460,R17,D17
1461,R17,R18
1462,R17,R20
1463,R17,R20
1464,R14,R16
1465,R14,B08
1466,R14,R15
1467,R14,R15
1468,R14,R13
1469,R14,R13
1470,R15,R16
1471,R15,R16
1472,R15,R14
1473,R15,R14
1474,R13,R14
1475,R13,R14
1476,R13,R11
1477,R13,R11
1478,R11,R13
1479,R11,R13
1480,R11,R09
1481,R11,629
1482,R11,629
1483,R11,629
1484,R11,629
1485,R11,629
1486,R11,629
1487,R11,629
1488,R11,629
1489,R11,629
1490,R11,G21
1491,R11,B08
1492,R11,B08
1493,R11,B08
1494,R11,B08
1495,R11,B08
1496,R11,B08
1497,R18,R17
1498,R18,R19
1499,R19,R18
1500,R19,R20
1501,420,423
1502,420,423
1503,420,419
1504,420,419
1505,423,234
1506,423,234
1507,423,420
1508,423,420
1509,423,232
1510,423,232
1511,423,232
1512,423,232
1513,423,R28
1514,423,R28
1515,301,302
1516,302,301
1517,302,224
1518,B16,B17
1519,B16,B15
1520,B16,N04
1521,B17,B16
1522,B17,B18
1523,B14,B15
1524,B14,B13
1525,B15,B16
1526,B15,B14
1527,B12,R36
1528,B12,B13
1529,B13,B14
1530,B13,B12
1531,B10,B08
1532,B10,D15
1533,B18,B17
1534,B18,B19
1535,B19,B18
1536,B19,B20
1537,L21,L20
1538,L21,L22
1539,L20,L21
1540,L20,L19
1541,L22,L21
1542,L22,A51
1543,L22,A51
1544,L22,J27
1545,L22,J27
1546,L22,L24
1547,L25,L24
1548,L25,L26
1549,L24,L22
1550,L24,L25
1551,L27,L28
1552,L27,L26
1553,J19,J17
1554,J19,J20
1555,J16,J17
1556,J16,J15
1557,J17,J16
1558,J17,J19
1559,J14,J15
1560,J14,J13
1561,J15,J16
1562,J15,J14
1563,J12,G06
1564,J12,J13
1565,J13,J14
1566,J13,J12
1567,D29,D28
1568,D29,D30
1569,D28,D29
1570,D28,D31
1571,D28,D27
1572,D28,D26
1573,D21,D20
1574,D21,D20
1575,D21,D20
1576,D21,D22
1577,D21,D22
1578,D21,F14
1579,D21,637
1580,D21,637
1581,D21,637
1582,D21,637
1583,D20,D21
1584,D20,D21
1585,D20,D21
1586,D20,A32
1587,D20,A32
1588,D20,A32
1589,D20,A32
1590,D20,A32
1591,D20,A32
1592,D20,A32
1593,D20,A32
1594,D20,A32
1595,D20,A32
1596,D20,A32
1597,D20,A32
1598,D20,D17
1599,D20,D17
1600,D20,D19
1601,D22,D21
1602,D22,D21
1603,D22,R30
1604,D22,R31
1605,D25,D24
1606,D25,D24
1607,D25,D26
1608,D25,D26
1609,D24,R31
1610,D24,R31
1611,D24,R31
1612,D24,R31
1613,D24,R31
1614,D24,R31
1615,D24,D25
1616,D24,D25
1617,D24,R30
1618,D24,R30
1619,D24,235
1620,D24,235
1621,D24,235
1622,D24,235
1623,D27,D28
1624,D27,D26
1625,D26,D25
1626,D26,D25
1627,D26,S04
1628,D26,D27
1629,D26,D28
1630,229,230
1631,229,230
1632,229,A38
1633,229,A38
1634,229,A38
1635,229,A38
1636,229,M22
1637,229,M22
1638,229,M22
1639,229,M22
1640,229,228
1641,229,228
1642,229,418
1643,229,418
1644,229,418
1645,229,418
1646,228,E01
1647,228,E01
1648,228,137
1649,228,137
1650,228,A36
1651,228,A36
1652,228,A36
1653,228,A36
1654,228,229
1655,228,229
1656,227,120
1657,227,120
1658,227,226
1659,227,226
1660,226,227
1661,226,227
1662,226,225
1663,226,225
1664,225,226
1665,225,226
1666,225,224
1667,225,224
1668,224,302
1669,224,225
1670,224,225
1671,224,222
1672,222,415
1673,222,415
1674,222,416
1675,222,224
1676,222,221
1677,222,221
1678,221,222
1679,221,222
1680,221,220
1681,221,220
1682,220,221
1683,220,221
1684,220,219
1685,220,219
1686,S09,S11
1687,S01,S03
1688,S01,A45
1689,S03,S01
1690,S03,S04
1691,S04,S03
1692,S04,239
1693,S04,239
1694,S04,239
1695,S04,239
1696,S04,D26
1697,726,725
1698,724,D16
1699,724,D16
1700,724,D16
1701,724,D16
1702,724,725
1703,724,723
1704,725,902
1705,725,R16
1706,725,R16
1707,725,R16
1708,725,R16
1709,725,A27
1710,725,A27
1711,725,A27
1712,725,726
1713,725,724
1714,725,127
1715,725,127
1716,725,127
1717,723,631
1718,723,631
1719,723,631
1720,723,724
1721,723,901
1722,723,721
1723,720,719
1724,720,721
1725,721,723
1726,721,720
1727,604,606
1728,604,603
1729,607,606
1730,607,608
1731,606,604
1732,606,607
1733,601,602
1734,603,604
1735,603,602
1736,602,601
1737,602,603
1738,609,610
1739,609,608
1740,608,607
1741,608,609
1742,M18,M19
1743,M18,F15
1744,M18,F15
1745,M18,F15
1746,M18,M16
1747,A15,A14
1748,A15,A14
1749,A15,A16
1750,A15,A16
1751,A15,A24
1752,A15,A24
1753,A15,D13
1754,A15,A12
1755,A14,A15
1756,A14,A15
1757,A14,D13
1758,A14,A12
1759,A17,A16
1760,A17,A16
1761,A17,A18
1762,A17,A18
1763,A16,A15
1764,A16,A15
1765,A16,A17
1766,A16,A17
1767,A11,A10
1768,A11,A12
1769,A10,A09
1770,A10,A11
1771,A12,A15
1772,A12,A14
1773,A12,A09
1774,A12,A11
1775,A12,D13
1776,A12,D13
1777,A12,D13
1778,A12,D13
1779,A19,A20
1780,A19,A20
1781,A19,A18
1782,A19,A18
1783,A18,A17
1784,A18,A17
1785,A18,A19
1786,A18,A19
1787,R27,R26
1788,R27,140
1789,R27,140
1790,R27,R28
1791,R29,A41
1792,R29,A41
1793,R29,A41
1794,R29,R30
1795,R29,R28
1796,R28,R27
1797,R28,423
1798,R28,423
1799,R28,232
1800,R28,232
1801,R28,R29
1802,F18,F16
1803,F18,A41
1804,R26,R27
1805,R26,R25
1806,R25,R26
1807,R25,R24
1808,R24,R25
1809,R24,R23
1810,R23,Q01
1811,R23,Q01
1812,R23,Q01
1813,R23,Q01
1814,R23,639
1815,R23,639
1816,R23,M20
1817,R23,M20
1818,R23,M20
1819,R23,M20
1820,R23,R24
1821,R23,R22
1822,R22,R23
1823,R22,R21
1824,R21,R22
1825,R21,R20
1826,R20,R17
1827,R20,R17
1828,R20,635
1829,R20,635
1830,R20,635
1831,R20,635
1832,R20,635
1833,R20,635
1834,R20,635
1835,R20,635
1836,R20,635
1837,R20,635
1838,R20,635
1839,R20,635
1840,R20,L03
1841,R20,L03
1842,R20,L03
1843,R20,L03
1844,R20,R19
1845,R20,Q01
1846,R20,Q01
1847,R20,R21
1848,X1,R41
1849,X1,N04
1850,N04,F31
1851,F31,D32
1852,D32,X5
1853,247,X5
1854,X5,X6
1855,X6,X7
1856,X7,X8
1857,X8,L26
1858,L26,L24
1859,L24,L20
1860,L20,X12
1861,X12,M01
1862,M01,X14
1863,X14,X15
1864,X15,X16
1865,X16,710
1866,X16,G14
1867,M08,M09
1868,M09,M10
1869,M10,M11
1870,139,140
1871,234,239
1872,D21,M18
1873,D15,F12
1874,S09,S10
1875,S10,S11
1876,S11,S12
1877,S12,S13
1878,M16,M11
1879,M11,J30
1880,J30,J28
1881,J27,J23
1882,J23,J21
1883,J20,J17
1884,J17,J15
1885,J14,J12
