,remote ,booth,complex_id,station,line_name,division
258,R139,N090,169.0,CANAL ST,ACE,IND
221,R118,A066,623.0,CANAL ST,JNQRZ6,BMT
408,R220,N535,237.0,CARROLL ST,FG,IND
409,R220,N534,237.0,CARROLL ST,FG,IND
197,R106,R418,365.0,CASTLE HILL AVE,6,IRT
577,R334,N034,155.0,CATHEDRL-110 ST,BC,IND
576,R334,N035,155.0,CATHEDRL-110 ST,BC,IND
656,R401,K017,114.0,CENTRAL AVE,M,BMT
67,R030,R116,327.0,CHAMBERS ST,123,IRT
66,R029,N092,624.0,CHAMBERS ST,ACE23,IND
65,R029,N091,624.0,CHAMBERS ST,ACE23,IND
98,R044,A069,622.0,CHAMBERS ST,456JZ,BMT
99,R044,A071,622.0,CHAMBERS ST,JZ456,BMT
693,R432,J017,93.0,CHAUNCEY ST,JZ,BMT
761,R548,PTH09,,CHRISTOPHER ST,1,PTH
353,R189,R125,323.0,CHRISTOPHER ST,1,IRT
354,R189,R126,323.0,CHRISTOPHER ST,1,IRT
383,R204,N545,243.0,CHURCH AVE,FG,IND
185,R098,B015,44.0,CHURCH AVE,BQ,BMT
203,R109,R639,356.0,CHURCH AVE,25,IRT
184,R098,B016,44.0,CHURCH AVE,BQ,BMT
382,R204,N546,243.0,CHURCH AVE,FG,IND
766,R550,PTH07,,CITY / BUS,1,PTH
414,R224,R600,334.0,CLARK ST,23,IRT
504,R287,N419,290.0,CLASSON AVE,G,IND
696,R435,J022,89.0,CLEVELAND ST,J,BMT
549,R317,N420B,291.0,CLINTON-WASH AV,G,IND
500,R284,N112A,177.0,CLINTON-WASH AV,C,IND
499,R284,N111,177.0,CLINTON-WASH AV,C,IND
345,R184,B018,46.0,CORTELYOU ROAD,BQ,BMT
170,R088,A050,624.0,CORTLANDT ST,R,BMT
173,R088,A053,624.0,CORTLANDT ST,R,BMT
532,R305,R107,328.0,CORTLANDT ST,1,IRT
534,R305,R108,328.0,CORTLANDT ST,1,IRT
535,R305,R109,328.0,CORTLANDT ST,1,IRT
171,R088,A052,624.0,CORTLANDT ST,R,BMT
172,R088,A051,624.0,CORTLANDT ST,R,BMT
533,R305,R106,328.0,CORTLANDT ST,1,IRT
606,R359,N400A,606.0,COURT SQ,EMG,IND
591,R346,R508,606.0,COURT SQ,7,IRT
605,R359,N400,606.0,COURT SQ,EMG,IND
604,R359,N307,606.0,COURT SQ-23 ST,EMG,IND
698,R437,J024,87.0,CRESCENT ST,JZ,BMT
137,R062,R625,345.0,CROWN HTS-UTICA,34,IRT
136,R062,R626,345.0,CROWN HTS-UTICA,34,IRT
711,R447,R404,375.0,CYPRESS AVE,6,IRT
712,R447,R405,375.0,CYPRESS AVE,6,IRT
6,R003,J025,86.0,CYPRESS HILLS,J,BMT
428,R236,H023,127.0,DEKALB AVE,L,BMT
186,R099,C008,26.0,DEKALB AVE,BDNQR,BMT
265,R142,N525,625.0,DELANCEY ST,FJMZ,IND
266,R142,N526,625.0,DELANCEY ST,FJMZ,IND
181,R095,R515,1.0,DITMARS BL-31 S,NQ,BMT
679,R420,N548,244.0,DITMAS AVE,F,IND
680,R420,N547,244.0,DITMAS AVE,F,IND
85,R036,R186,299.0,DYCKMAN ST,1,IRT
346,R185,N003,144.0,DYCKMAN-200 ST,A,IND
692,R431,R730,442.0,DYRE AVE,5,IRT
714,R448,R407,374.0,E 143 ST,6,IRT
713,R448,R406,374.0,E 143 ST,6,IRT
715,R449,R408,373.0,E 149 ST,6,IRT
716,R449,R409,373.0,E 149 ST,6,IRT
411,R222,R417,366.0,E 177 ST-PARKCH,6,IRT
640,R388,R325,426.0,E 180 ST,25,IRT
638,R387,R323,427.0,E TREMONT AVE,25,IRT
639,R387,R323A,427.0,E TREMONT AVE,25,IRT
624,R376,H040,137.0,EAST 105 ST,L,BMT
459,R257,N529,234.0,EAST BROADWAY,F,IND
460,R257,N528,234.0,EAST BROADWAY,F,IND
134,R060,R621,341.0,EASTERN PKWY,23,IRT
296,R162,R414,369.0,ELDER AVE,6,IRT
7,R004,J028,85.0,ELDERTS LANE,JZ,BMT
405,R218,N325A,266.0,ELMHURST AVE,MR,IND
743,R470,X002,514.0,ELTINGVILLE PK,Z,SRT
264,R142,A061,625.0,ESSEX ST,FJMZ,BMT
376,R200,N128,188.0,EUCLID AVE,AC,IND
756,R543,PTH05,,EXCHANGE PLACE,1,PTH
501,R285,N196,209.0,FAR ROCKAWAY,A,IND
204,R110,R645,359.0,FLATBUSH AVE,25,IRT
205,R110,R646,359.0,FLATBUSH AVE,25,IRT
206,R110,R647,359.0,FLATBUSH AVE,25,IRT
548,R316,N414A,287.0,FLUSHING AVE,G,IND
625,R377,J007,98.0,FLUSHING AVE,JM,BMT
547,R316,N414,287.0,FLUSHING AVE,G,IND
210,R112,N217,213.0,FORDHAM ROAD,BD,IND
211,R112,N218,213.0,FORDHAM ROAD,BD,IND
222,R119,R289,382.0,FORDHAM ROAD,4,IRT
658,R403,K024,110.0,FOREST AVE,M,BMT
263,R141,N333B,261.0,FOREST HILLS-71,EFMR,IND
261,R141,N333A,261.0,FOREST HILLS-71,EFMR,IND
262,R141,N333,261.0,FOREST HILLS-71,EFMR,IND
8,R005,J030,84.0,FOREST PARKWAY,J,BMT
520,R297,N113,627.0,FRANKLIN AVE,ACS,IND
521,R297,N114,627.0,FRANKLIN AVE,ACS,IND
226,R123,R622,627.0,FRANKLIN AVE,2345S,IRT
587,R343,R117,326.0,FRANKLIN ST,1,IRT
588,R343,R118,326.0,FRANKLIN ST,1,IRT
666,R409,R320,429.0,FREEMAN ST,25,IRT
667,R409,R319,429.0,FREEMAN ST,25,IRT
659,R404,K025,109.0,FRESH POND ROAD,M,BMT
506,R289,N543,242.0,FT HAMILTON PKY,FG,IND
507,R289,N544,242.0,FT HAMILTON PKY,FG,IND
644,R391,D004,72.0,FT HAMILTON PKY,N,BMT
617,R369,E003,60.0,FT HAMILTON PKY,D,BMT
643,R391,D003,72.0,FT HAMILTON PKY,N,BMT
27,R014,N095,628.0,FULTON ST,ACJZ2345,IND
62,R028,R114,628.0,FULTON ST,2345ACJZ,IRT
4,R002,A081,628.0,FULTON ST,ACJZ2345,BMT
5,R002,A082,628.0,FULTON ST,ACJZ2345,BMT
28,R014,R205,628.0,FULTON ST,ACJZ2345,IRT
30,R014,R208,628.0,FULTON ST,2345ACJZ,IRT
550,R318,N422,292.0,FULTON ST,G,IND
29,R014,R206,628.0,FULTON ST,2345ACJZ,IRT
60,R028,R113A,628.0,FULTON ST,2345ACJZ,IRT
61,R028,R113,628.0,FULTON ST,2345ACJZ,IRT
31,R014,R205A,628.0,FULTON ST,2345ACJZ,IRT
3,R002,A077,628.0,FULTON ST,ACJZ2345,BMT
628,R380,J013,95.0,GATES AVE,JZ,BMT
447,R249,H013,122.0,GRAHAM AVE,L,BMT
446,R249,H014,122.0,GRAHAM AVE,L,BMT
133,R059,R619,340.0,GRAND ARMY PLAZ,23,IRT
456,R254,N327,265.0,GRAND AV-NEWTON,MR,IND
448,R250,H016,123.0,GRAND ST,L,BMT
449,R250,H015,123.0,GRAND ST,L,BMT
434,R240,N520,231.0,GRAND ST,BD,IND
179,R093,R513,3.0,GRAND-30 AVE,NQ,BMT
630,R382,N129,189.0,GRANT AVE,A,IND
432,R239,N405,283.0,GREENPOINT AVE,G,IND
433,R239,N403,283.0,GREENPOINT AVE,G,IND
599,R355,N139,194.0,GREENWOOD-111,A,IND
600,R355,N138,194.0,GREENWOOD-111,A,IND
768,R551,PTH04,,GROVE STREET,1,PTH
612,R364,R331,421.0,GUN HILL ROAD,25,IRT
416,R226,R728,444.0,GUN HILL ROAD,5,IRT
472,R266,H030,129.0,HALSEY ST,L,BMT
629,R381,J016,94.0,HALSEY ST,J,BMT
471,R266,H028,129.0,HALSEY ST,L,BMT
757,R544,PTH02,,HARRISON,1,PTH
596,R352,J003,100.0,HEWES ST,JM,BMT
453,R252,N101,173.0,HIGH ST,AC,IND
452,R252,N100,173.0,HIGH ST,AC,IND
510,R290,R122,324.0,HOUSTON ST,1,IRT
511,R290,R124,324.0,HOUSTON ST,1,IRT
509,R290,R121,324.0,HOUSTON ST,1,IRT
508,R290,R123,324.0,HOUSTON ST,1,IRT
672,R414,N182,198.0,HOWARD BCH-JFK,A,IND
673,R414,N182A,198.0,HOWARD BCH-JFK,A,IND
725,R456,R605,336.0,HOYT ST,23,IRT
415,R225,R606,336.0,HOYT ST,23,IRT
180,R094,R514,2.0,HOYT ST-ASTORIA,NQ,BMT
404,R217,N108,175.0,HOYT/SCHERMER,ACG,IND
632,R383,N130,190.0,HUDSON-80 ST,A,IND
631,R383,N131,190.0,HUDSON-80 ST,A,IND
248,R134,R507,463.0,HUNTERS PT AVE,7,IRT
272,R146,R412,371.0,HUNTS POINT AVE,6,IRT
663,R407,R316,431.0,INTERVALE-163,25,IRT
325,R173,N001,143.0,INWOOD-207 ST,A,IND
324,R173,N002A,143.0,INWOOD-207 ST,A,IND
660,R405,R312,433.0,JACKSON AVE,25,IRT
54,R025,N606,278.0,JAMAICA CENTER,EJZ,IND
55,R025,N607,278.0,JAMAICA CENTER,EJZ,IND
41,R019,N342,254.0,JAMAICA-179 ST,F,IND
40,R019,N343,254.0,JAMAICA-179 ST,F,IND
586,R342,N604,280.0,JAMAICA-VAN WYC,E,IND
233,R127,N103,636.0,JAY ST-METROTEC,ACF,IND
234,R127,N102,636.0,JAY ST-METROTEC,ACF,IND
175,R089,C004,636.0,JAY ST-METROTEC,R,BMT
174,R089,C003,636.0,JAY ST-METROTEC,R,BMT
493,R279,H022,126.0,JEFFERSON ST,L,BMT
746,R535,JFK01,,JFK HOWARD BCH,A,IND
747,R535,JFK02,,JFK HOWARD BCH,A,IND
748,R536,JFK03,,JFK JAMAICA CT1,E,IND
749,R537,JFK04,,JFK JAMAICA CT2,E,IND
769,R552,PTH03,,JOURNAL SQUARE,1,PTH
183,R097,R528,451.0,JUNCTION BLVD,7,IRT
141,R066,R630,349.0,JUNIUS ST,3,IRT
394,R211,B023,51.0,KINGS HIGHWAY,BQ,BMT
395,R211,B024A,51.0,KINGS HIGHWAY,BQ,BMT
241,R130,N558,250.0,KINGS HIGHWAY,F,IND
240,R130,N557,250.0,KINGS HIGHWAY,F,IND
393,R211,B024,51.0,KINGS HIGHWAY,BQ,BMT
649,R395,D012,77.0,KINGS HIGHWAY,N,BMT
295,R161,R290,381.0,KINGSBRIDGE RD,4,IRT
285,R155,N220,212.0,KINGSBRIDGE RD,BD,IND
284,R155,N221,212.0,KINGSBRIDGE RD,BD,IND
227,R124,R624,344.0,KINGSTON AVE,3,IRT
375,R199,N118,180.0,KINGSTON-THROOP,C,IND
374,R199,N119,180.0,KINGSTON-THROOP,C,IND
671,R413,K019,113.0,KNICKERBOCKER,M,BMT
627,R379,J012,96.0,KOSCIUSZKO ST,J,BMT
767,R550,PTH16,,LACKAWANNA,1,PTH
498,R283,N110,176.0,LAFAYETTE AVE,C,IND
601,R356,N141,195.0,LEFFERTS BLVD,A,IND
117,R051,A002,613.0,LEXINGTON AVE,456NQR,BMT
551,R319,N601,223.0,LEXINGTON AVE,F,IND
114,R050,A004,613.0,LEXINGTON AVE,456NQR,BMT
35,R017,N306,613.0,LEXINGTON-53 ST,EM6,IND
36,R017,N305,613.0,LEXINGTON-53 ST,EM6,IND
34,R016,N305A,613.0,LEXINGTON-53 ST,EM6,IND
750,R538,LGA01,,LGA AIRPORT CTB,7,IRT
744,R526,LI001,,LIB-HEMPSTEAD,F,LIB
702,R440,N125,185.0,LIBERTY AVE,C,IND
595,R350,H038,135.0,LIVONIA AVE,L,BMT
718,R450,R411,372.0,LONGWOOD AVE,6,IRT
717,R450,R410,372.0,LONGWOOD AVE,6,IRT
477,R268,H012,629.0,LORIMER ST,GL,BMT
597,R353,J005,99.0,LORIMER ST,JM,BMT
124,R055,R534,447.0,MAIN ST,7,IRT
123,R055,R533,447.0,MAIN ST,7,IRT
88,R039,R192,296.0,MARBLE HILL-225,1,IRT
730,R460,J001,101.0,MARCY AVE,JMZ,BMT
729,R460,J002,101.0,MARCY AVE,JMZ,BMT
726,R457,MCB1,,METROCARD BUS 1,23,BMT
727,R458,MCB2,,METROCARD BUS 2,23,BMT
738,R465,MCV1,,METROCARD VAN-1,1,BMT
739,R466,MCV2,,METROCARD VAN-2,1,BMT
740,R467,MCV3,,METROCARD VAN-3,1,BMT
187,R100,K026,108.0,METROPOLITAN AV,M,BMT
476,R268,N409,629.0,METROPOLITAN AV,GL,IND
564,R328,R532,448.0,METS-WILLETS PT,7,IRT
565,R328,R532G,448.0,METS-WILLETS PT,7,IRT
566,R328,R532H,448.0,METS-WILLETS PT,7,IRT
688,R427,R421,362.0,MIDDLETOWN ROAD,6,IRT
470,R265,H017,124.0,MONTROSE AVE,L,BMT
517,R294,H019,125.0,MORGAN AVE,L,BMT
567,R329,R726,446.0,MORRIS PARK,5,IRT
223,R120,R415,368.0,MORRISON AVE,6,IRT
247,R133,R293,379.0,MOSHOLU PARKWAY,4,IRT
538,R308,R285,386.0,MT EDEN AVE,4,IRT
169,R087,A047,20.0,MURRAY ST-B'WAY,R,BMT
254,R137,H027,630.0,MYRTLE AVE,LM,BMT
253,R137,H026,630.0,MYRTLE AVE,LM,BMT
626,R378,J009,97.0,MYRTLE AVE,JMZ,BMT
503,R286,N416,288.0,MYRTLE-WILLOUGH,G,IND
502,R286,N415,288.0,MYRTLE-WILLOUGH,G,IND
458,R256,N408A,284.0,NASSAU AV,G,IND
421,R230,B026,53.0,NECK ROAD,BQ,BMT
687,R426,N562,253.0,NEPTUNE AVE,F,IND
707,R444,R335,417.0,NEREID AVE,25,IRT
125,R056,R608,337.0,NEVINS ST,2345,IRT
126,R056,R609,337.0,NEVINS ST,2345,IRT
623,R375,H039,136.0,NEW LOTS AVE,L,BMT
144,R069,R634,352.0,NEW LOTS AVE,3,IRT
653,R398,D006,615.0,NEW UTRECHT AVE,ND,BMT
652,R398,D005,615.0,NEW UTRECHT AVE,ND,BMT
763,R549,PTH18,,NEWARK BM BW,1,PTH
764,R549,PTH19,,NEWARK C,1,PTH
765,R549,PTH20,,NEWARK HM HE,1,PTH
762,R549,PTH01,,NEWARK HW BMEBE,1,PTH
250,R135,R644,358.0,NEWKIRK AVE,25,IRT
249,R135,R643,358.0,NEWKIRK AVE,25,IRT
275,R149,B019,47.0,NEWKIRK AVE,BQ,BMT
522,R298,N318,269.0,NORTHERN BLVD,MR,IND
523,R298,N319,269.0,NORTHERN BLVD,MR,IND
697,R436,J023,88.0,NORWOOD AVE,JZ,BMT
288,R157,N224,210.0,NORWOOD-205 ST,D,IND
289,R157,N225,210.0,NORWOOD-205 ST,D,IND
135,R061,R623,343.0,NOSTRAND AVE,3,IRT
373,R198,N117,179.0,NOSTRAND AVE,AC,IND
372,R198,N116,179.0,NOSTRAND AVE,AC,IND
668,R410,X001,,NYC & CO - 7 AV,1,IRT
468,R264,B032,56.0,OCEAN PARKWAY,Q,BMT
469,R264,B034,56.0,OCEAN PARKWAY,Q,BMT
728,R459,OB01,,ORCHARD BEACH,6,IND
598,R354,N137,193.0,OXFORD-104 ST,A,IND
130,R057,C009,617.0,PACIFIC ST,BDNQR2345,BMT
669,R411,B009,141.0,PARK PLACE,S,BMT
63,R029,R115,624.0,PARK PLACE,23ACE,IRT
274,R148,B014,43.0,PARKSIDE AVE,BQ,BMT
215,R114,N339,256.0,PARSONS BLVD,F,IND
214,R114,N339A,256.0,PARSONS BLVD,F,IND
751,R540,PTH08,,PATH WTC,1,PTH
752,R540,PTH21,,PATH WTC 2,1,PTH
759,R546,PTH06,,PAVONIA/NEWPORT,1,PTH
690,R429,R423,360.0,PELHAM BAY PARK,6,IRT
608,R361,R328,424.0,PELHAM PARKWAY,25,IRT
609,R361,R327,424.0,PELHAM PARKWAY,25,IRT
691,R430,R727,445.0,PELHAM PARKWAY,5,IRT
142,R067,R632,350.0,PENNSYLVANIA AV,3,IRT
491,R277,R635,353.0,PRESIDENT ST,25,IRT
167,R086,A041,17.0,PRINCE ST-B'WAY,NR,BMT
168,R086,A042,17.0,PRINCE ST-B'WAY,NR,BMT
442,R246,C014,30.0,PROSPECT AVE,R,BMT
723,R454,C015,30.0,PROSPECT AVE,R,BMT
661,R406,R314,432.0,PROSPECT AVE,25,IRT
662,R406,R315,432.0,PROSPECT AVE,25,IRT
370,R196,B013,42.0,PROSPECT PARK,BQS,BMT
369,R196,B012,42.0,PROSPECT PARK,BQS,BMT
259,R140,N309A,273.0,QUEENS PLAZA,EMR,IND
260,R140,N310,273.0,QUEENS PLAZA,EMR,IND
224,R121,R509,461.0,QUEENSBORO PLZ,7NQ,IRT
699,R438,N121B,182.0,RALPH AVE,C,IND
418,R227,A054,22.0,RECTOR ST,R,BMT
530,R304,R103,329.0,RECTOR ST,1,IRT
531,R304,R102,329.0,RECTOR ST,1,IRT
417,R227,A055,22.0,RECTOR ST,R,BMT
741,R468,TRAM1,,RIT-MANHATTAN,R,RIT
742,R469,TRAM2,,RIT-ROOSEVELT,R,RIT
140,R065,R629,348.0,ROCKAWAY AVE,3,IRT
700,R439,N122,183.0,ROCKAWAY AVE,C,IND
701,R439,N123B,183.0,ROCKAWAY AVE,C,IND
634,R385,N134,192.0,ROCKAWAY BLVD,A,IND
635,R385,N135,192.0,ROCKAWAY BLVD,A,IND
678,R419,N187,203.0,ROCKAWAY PK 116,AS,IND
279,R152,H041,138.0,ROCKAWAY PKY,L,BMT
38,R018,N323,616.0,ROOSEVELT AVE,EFMR7,IND
37,R018,N324,616.0,ROOSEVELT AVE,EFMR7,IND
463,R259,N602,222.0,ROOSEVELT IS,F,IND
139,R064,R628,347.0,SARATOGA AVE,3,IRT
657,R402,K022,111.0,SENECA AVE,M,BMT
252,R136,B028,54.0,SHEEPSHEAD BAY,BQ,BMT
251,R136,B027,54.0,SHEEPSHEAD BAY,BQ,BMT
704,R442,N127,187.0,SHEPHERD AVE,C,IND
664,R408,R318,430.0,SIMPSON ST,25,IRT
665,R408,R317,430.0,SIMPSON ST,25,IRT
480,R270,N536,238.0,SMITH-9 ST,FG,IND
2,R001,R101S,635.0,SOUTH FERRY,R1,IRT
556,R322,R215,409.0,SPRING ST,6,IRT
557,R322,R216,409.0,SPRING ST,6,IRT
497,R282,N087,168.0,SPRING ST,CE,IND
496,R282,N086,168.0,SPRING ST,CE,IND
441,R245,R416,367.0,ST LAWRENCE AVE,6,IRT
146,R070,S101A,501.0,ST. GEORGE,1,SRT
145,R070,S101,501.0,ST. GEORGE,1,SRT
430,R238,N315,271.0,STEINWAY ST,MR,IND
431,R238,N314,271.0,STEINWAY ST,MR,IND
391,R209,R636,354.0,STERLING ST,25,IRT
277,R151,G001,58.0,STILLWELL AVE,DFNQ,BMT
278,R151,G009,58.0,STILLWELL AVE,DFNQ,BMT
236,R128,N338,257.0,SUTPHIN BLVD,F,IND
235,R128,N338B,257.0,SUTPHIN BLVD,F,IND
53,R024,N605,279.0,SUTPHIN BLVD,EJZ,IND
594,R349,H037,134.0,SUTTER AVE,L,BMT
138,R063,R627,346.0,SUTTER AVE,3,IRT
753,R541,PTH13,,THIRTY ST,1,PTH
754,R541,PTH17,,THIRTY THIRD ST,1,PTH
305,R165,S102,502.0,TOMPKINSVILLE,1,SRT
283,R154,N214,215.0,TREMONT AVE,BD,IND
282,R154,N213,215.0,TREMONT AVE,BD,IND
755,R542,PTH12,,TWENTY THIRD ST,1,PTH
423,R231,C011,28.0,UNION ST,R,BMT
422,R231,C010,28.0,UNION ST,R,BMT
291,R158,N335,259.0,UNION TPK-KEW G,EF,IND
290,R158,N336,259.0,UNION TPK-KEW G,EF,IND
281,R153,N120A,181.0,UTICA AVE,AC,IND
280,R153,N120,181.0,UTICA AVE,AC,IND
607,R360,N401,282.0,VAN ALSTON-21ST,G,IND
703,R441,N126,186.0,VAN SICLEN AVE,C,IND
695,R434,J021,90.0,VAN SICLEN AVE,JZ,BMT
143,R068,R633,351.0,VAN SICLEN AVE,3,IRT
457,R255,N337,258.0,VAN WYCK BLVD,EF,IND
490,R276,R506,464.0,VERNON/JACKSON,7,IRT
488,R276,R504,464.0,VERNON/JACKSON,7,IRT
489,R276,R503,464.0,VERNON/JACKSON,7,IRT
256,R138,N083,167.0,W 4 ST-WASH SQ,ABCDEFM,IND
255,R138,N080,167.0,W 4 ST-WASH SQ,ABCDEFM,IND
542,R312,G011,57.0,W 8 ST-AQUARIUM,FQ,BMT
543,R312,G015,57.0,W 8 ST-AQUARIUM,FQ,BMT
271,R145,R336,416.0,WAKEFIELD-241,2,IRT
56,R027,R111,333.0,WALL ST,23,IRT
94,R043,R203A,413.0,WALL ST,45,IRT
95,R043,R204,413.0,WALL ST,45,IRT
93,R043,R203,413.0,WALL ST,45,IRT
58,R027,R112,333.0,WALL ST,23,IRT
96,R043,R204A,413.0,WALL ST,45,IRT
59,R027,R112A,333.0,WALL ST,23,IRT
57,R027,R110,333.0,WALL ST,23,IRT
177,R091,R511,5.0,WASHINGTON-36 A,NQ,BMT
745,R532,WCCTR,,WEST COUNTY CTR,5,BEE
198,R107,R420,363.0,WESTCHESTER SQ,6,IRT
1,R001,A058,635.0,WHITEHALL ST,R1,BMT
0,R001,A060,635.0,WHITEHALL ST,R1,BMT
561,R325,R413,370.0,WHITLOCK AVE,6,IRT
518,R295,H032,130.0,WILSON AVE,L,BMT
719,R451,R637,355.0,WINTHROP ST,25,IRT
10,R006,J032,83.0,WOODHAVEN BLVD,JZ,BMT
378,R201,N329A,264.0,WOODHAVEN BLVD,MR,IND
377,R201,N329,264.0,WOODHAVEN BLVD,MR,IND
9,R006,J031,83.0,WOODHAVEN BLVD,JZ,BMT
118,R052,R294,378.0,WOODLAWN ROAD,4,IRT
64,R029,N094,624.0,WORLD TRADE CTR,23ACE,IND
527,R301,N530,235.0,YORK ST,F,IND
562,R326,R419,364.0,ZEREGA AVE,6,IRT
