,DOW,complex_id,avg(entries),avg(exits)
0,weekend,1,3481.4375,5802.6875
1,weekend,10,7251.75,10609.5625
2,weekend,100,700.0625,1416.625
3,weekend,101,2769.625,5374.5
4,weekend,103,1209.1875,2840.6875
5,weekend,107,839.875,848.375
6,weekend,108,777.75,1341.625
7,weekend,109,1203.25,2213.9375
8,weekend,110,855.8125,1301.3125
9,weekend,111,600.0,1210.25
10,weekend,113,967.8125,1917.9375
11,weekend,114,779.375,1620.6875
12,weekend,118,1516.0,3876.0625
13,weekend,119,4761.875,12688.9375
14,weekend,120,7459.4375,21006.9375
15,weekend,122,1768.625,3209.0
16,weekend,123,1321.5625,2683.75
17,weekend,124,1522.4375,2361.5
18,weekend,125,1548.125,2374.0625
19,weekend,126,1974.5,1211.25
20,weekend,127,2548.0,1390.0
21,weekend,129,1466.6875,2470.0625
22,weekend,13,2682.4375,6170.1875
23,weekend,130,965.5,1886.8125
24,weekend,131,568.9375,678.5
25,weekend,133,162.8125,145.3125
26,weekend,134,307.75,711.5625
27,weekend,135,293.625,560.75
28,weekend,136,422.0,876.0625
29,weekend,137,296.3125,617.6875
30,weekend,138,578.125,528.3125
31,weekend,14,4950.9375,4756.5625
32,weekend,141,385.0625,777.75
33,weekend,143,2160.0,1944.75
34,weekend,144,1604.8125,162.5625
35,weekend,145,974.0625,615.6875
36,weekend,146,2578.4375,4305.375
37,weekend,147,2811.8125,2931.875
38,weekend,149,1131.375,1845.4375
39,weekend,150,692.75,1091.625
40,weekend,151,5742.625,9989.8125
41,weekend,152,1010.4375,1403.0
42,weekend,153,7155.125,12049.75
43,weekend,154,1489.8125,2233.4375
44,weekend,155,1605.1875,1634.625
45,weekend,156,1029.3125,1452.4375
46,weekend,157,1484.8125,2433.75
47,weekend,158,1788.375,3073.625
48,weekend,159,3733.25,5233.375
49,weekend,16,4378.4375,7894.5625
50,weekend,160,1980.25,2986.1875
51,weekend,162,5193.375,5909.5625
52,weekend,164,15893.3125,26677.6875
53,weekend,165,3596.5,4988.375
54,weekend,167,10543.5625,21450.8125
55,weekend,168,1995.75,1109.4375
56,weekend,169,3348.0,6878.0
57,weekend,17,4458.25,9327.0625
58,weekend,173,2910.1875,5046.75
59,weekend,175,2480.6875,5031.75
60,weekend,176,999.9375,1095.8125
61,weekend,177,919.875,1771.375
62,weekend,179,3328.8125,5994.125
63,weekend,180,1079.9375,2182.5
64,weekend,181,3228.25,5840.5
65,weekend,182,908.375,1236.1875
66,weekend,183,795.125,1148.4375
67,weekend,185,535.875,563.6875
68,weekend,186,617.4375,1091.5
69,weekend,187,662.875,822.5
70,weekend,188,2223.125,1557.5
71,weekend,189,1226.1875,1879.125
72,weekend,190,920.0625,835.4375
73,weekend,191,576.625,382.8125
74,weekend,192,2097.25,898.0
75,weekend,193,340.75,213.25
76,weekend,194,446.6875,251.5
77,weekend,195,1621.5,2020.625
78,weekend,196,461.625,83.9375
79,weekend,197,113.3125,708.125
80,weekend,198,637.0,156.5
81,weekend,199,41.3125,45.9375
82,weekend,2,2561.625,3964.375
83,weekend,20,729.875,718.875
84,weekend,200,126.0625,270.0
85,weekend,201,83.4375,189.5
86,weekend,202,31.8125,89.3125
87,weekend,203,182.9375,426.125
88,weekend,204,448.0625,632.8125
89,weekend,205,401.625,592.9375
90,weekend,206,158.75,334.0
91,weekend,207,197.5625,375.8125
92,weekend,208,337.625,619.0
93,weekend,209,792.1875,1555.875
94,weekend,210,2007.4375,2753.25
95,weekend,211,1742.5625,1741.875
96,weekend,212,1704.5,2590.0625
97,weekend,213,2769.5,2956.5625
98,weekend,214,1238.375,1183.5625
99,weekend,215,2153.9375,3507.0
100,weekend,216,1096.5625,1063.0
101,weekend,217,1540.25,2001.875
102,weekend,218,2146.5625,2007.1875
103,weekend,22,876.9375,663.0625
104,weekend,220,894.0625,925.875
105,weekend,221,2856.5,3569.875
106,weekend,222,2474.25,3353.1875
107,weekend,223,3755.5,7776.0625
108,weekend,224,3120.75,5507.625
109,weekend,225,7607.5,11399.5
110,weekend,228,4768.625,7516.5625
111,weekend,231,6861.875,9275.625
112,weekend,232,4509.25,9943.0
113,weekend,234,3188.3125,4157.5
114,weekend,235,2874.25,3891.5
115,weekend,236,2334.1875,4455.375
116,weekend,237,2070.5625,2447.875
117,weekend,238,894.875,2262.9375
118,weekend,240,2200.75,2426.6875
119,weekend,241,1258.4375,1642.8125
120,weekend,242,1166.5625,740.625
121,weekend,243,2737.9375,3281.6875
122,weekend,244,203.8125,109.5625
123,weekend,245,291.375,538.1875
124,weekend,246,96.6875,60.625
125,weekend,247,75.5,57.0
126,weekend,248,160.375,101.5625
127,weekend,249,159.8125,107.5625
128,weekend,250,248.5,446.8125
129,weekend,251,140.125,95.625
130,weekend,252,187.9375,237.5
131,weekend,253,84.625,94.5
132,weekend,254,3940.1875,3057.5625
133,weekend,255,1876.25,2581.4375
134,weekend,256,1731.9375,2412.625
135,weekend,257,1095.1875,1333.1875
136,weekend,258,1116.5625,1018.25
137,weekend,259,4758.6875,6823.3125
138,weekend,26,4426.5625,5416.8125
139,weekend,260,693.5,495.6875
140,weekend,261,5635.375,5209.0
141,weekend,262,1412.5,1130.875
142,weekend,263,3126.625,2425.6875
143,weekend,264,4586.8125,6303.75
144,weekend,265,4000.375,4125.1875
145,weekend,266,2916.625,1617.25
146,weekend,268,721.0,1205.6875
147,weekend,269,1330.0,1923.5
148,weekend,270,1665.875,2614.0625
149,weekend,271,3060.375,4254.0625
150,weekend,272,569.5,627.75
151,weekend,273,2600.0625,5863.6875
152,weekend,276,2088.125,4430.375
153,weekend,277,3699.3125,6181.3125
154,weekend,278,5964.0625,8827.0
155,weekend,279,6536.0,8204.5625
156,weekend,28,1728.5,3097.5625
157,weekend,280,1208.3125,2438.5
158,weekend,282,483.1875,980.9375
159,weekend,283,1978.125,3120.0
160,weekend,284,1988.0,4995.0
161,weekend,286,1236.6875,2098.0
162,weekend,287,540.25,1006.1875
163,weekend,288,1094.375,1460.0625
164,weekend,289,1920.9375,3055.875
165,weekend,290,1167.4375,2703.25
166,weekend,291,1014.25,1217.4375
167,weekend,292,1559.5625,2756.6875
168,weekend,293,1295.75,1117.9375
169,weekend,294,1378.5,325.9375
170,weekend,295,2444.3125,458.75
171,weekend,296,1379.0,439.9375
172,weekend,297,482.625,308.3125
173,weekend,298,1963.5625,1409.9375
174,weekend,299,2115.875,2373.6875
175,weekend,3,2896.5,5034.75
176,weekend,30,1180.4375,2161.0
177,weekend,300,2169.3125,4185.875
178,weekend,301,2652.8125,4880.3125
179,weekend,303,3299.3125,3896.1875
180,weekend,304,3205.5625,4714.0625
181,weekend,305,3389.5625,5125.9375
182,weekend,306,2029.25,3919.625
183,weekend,307,2287.9375,3241.5625
184,weekend,308,3160.8125,3891.4375
185,weekend,309,3427.0,3383.0625
186,weekend,31,930.25,1551.5625
187,weekend,310,8916.625,15895.125
188,weekend,311,4577.6875,8653.125
189,weekend,312,4045.625,4818.0625
190,weekend,313,10361.6875,18346.625
191,weekend,314,4538.875,7667.4375
192,weekend,316,5833.0625,9658.5625
193,weekend,318,15041.6875,26780.3125
194,weekend,319,2905.3125,4372.25
195,weekend,32,4258.5625,5144.75
196,weekend,320,3802.25,5994.625
197,weekend,321,1688.9375,2594.1875
198,weekend,323,3454.375,5857.625
199,weekend,324,2207.75,3759.8125
200,weekend,325,1067.0,2153.3125
201,weekend,326,1012.3125,1154.6875
202,weekend,327,2623.5625,5315.125
203,weekend,328,3158.625,4565.9375
204,weekend,329,1667.875,1830.3125
205,weekend,33,2188.25,2487.75
206,weekend,333,2112.0,4246.375
207,weekend,334,0.0625,0.125
208,weekend,336,1626.3125,2769.8125
209,weekend,337,2080.5,3593.5625
210,weekend,339,687.5,1155.9375
211,weekend,34,2599.875,4419.1875
212,weekend,340,1263.1875,981.4375
213,weekend,341,1074.5625,2230.0
214,weekend,343,1030.0625,1860.6875
215,weekend,344,1113.0625,1730.75
216,weekend,345,5924.5,8050.6875
217,weekend,346,1493.375,2678.25
218,weekend,347,1089.6875,1955.0
219,weekend,348,1056.6875,2063.9375
220,weekend,349,575.9375,1206.125
221,weekend,35,3626.375,4673.125
222,weekend,350,1117.75,924.4375
223,weekend,351,601.6875,1138.9375
224,weekend,352,1309.3125,2350.5625
225,weekend,353,691.5,1407.75
226,weekend,354,1265.0,1435.9375
227,weekend,355,1262.5625,411.0625
228,weekend,356,2164.0625,800.875
229,weekend,357,995.5,390.4375
230,weekend,358,1578.375,1798.0625
231,weekend,359,3537.0625,3818.8125
232,weekend,36,1775.3125,1831.125
233,weekend,360,1474.0,1843.9375
234,weekend,361,773.9375,1327.3125
235,weekend,362,347.0625,590.6875
236,weekend,363,1119.875,1943.8125
237,weekend,364,552.125,886.0625
238,weekend,365,1550.5,2866.0625
239,weekend,366,3360.375,5700.25
240,weekend,367,1131.9375,1985.875
241,weekend,368,1605.875,2692.625
242,weekend,369,1910.9375,3442.8125
243,weekend,37,1068.375,722.625
244,weekend,370,400.8125,868.6875
245,weekend,371,2423.3125,3613.0
246,weekend,372,669.875,1141.0
247,weekend,373,1081.0625,2022.5
248,weekend,374,193.0625,399.625
249,weekend,375,631.9375,970.6875
250,weekend,376,1358.1875,2509.375
251,weekend,377,2316.4375,3144.5
252,weekend,378,1763.0625,882.6875
253,weekend,379,1939.125,1833.75
254,weekend,38,2742.375,3541.8125
255,weekend,380,1187.125,1773.4375
256,weekend,381,2277.5,1762.5625
257,weekend,382,2994.125,1154.3125
258,weekend,383,1753.375,1517.4375
259,weekend,384,2432.0625,2393.5
260,weekend,385,1408.4375,1684.6875
261,weekend,386,1375.5625,1668.4375
262,weekend,387,2043.75,3074.375
263,weekend,388,2504.8125,4095.9375
264,weekend,39,1091.375,1184.125
265,weekend,391,712.0,1082.25
266,weekend,392,5422.875,9916.625
267,weekend,393,3898.4375,4572.25
268,weekend,394,2640.625,4430.875
269,weekend,395,2815.875,4826.5
270,weekend,396,3259.875,2445.625
271,weekend,397,9436.4375,17179.4375
272,weekend,398,5212.5,9046.5625
273,weekend,399,2953.25,4891.5625
274,weekend,4,2923.0625,5277.0
275,weekend,403,3957.125,6961.3125
276,weekend,404,3110.5625,6376.0625
277,weekend,405,3512.5625,6171.875
278,weekend,407,3713.9375,7963.125
279,weekend,409,3210.125,7041.3125
280,weekend,41,2127.875,4396.9375
281,weekend,413,1826.625,2010.625
282,weekend,414,3348.9375,5682.6875
283,weekend,416,1359.9375,2293.3125
284,weekend,417,763.4375,609.6875
285,weekend,418,1192.9375,812.5
286,weekend,419,925.1875,958.25
287,weekend,42,2878.125,5155.4375
288,weekend,420,735.3125,775.0
289,weekend,421,1667.125,3360.875
290,weekend,422,758.6875,664.9375
291,weekend,423,1230.1875,1000.9375
292,weekend,424,2034.5,1878.75
293,weekend,425,556.5625,450.8125
294,weekend,426,1788.8125,2466.0
295,weekend,427,1566.8125,1897.8125
296,weekend,428,1514.125,2717.875
297,weekend,429,1179.0,1936.1875
298,weekend,43,1763.8125,2594.8125
299,weekend,430,2211.375,1223.0625
300,weekend,431,798.25,1416.0
301,weekend,432,1741.6875,1008.8125
302,weekend,433,1230.4375,492.875
303,weekend,434,4627.9375,4680.125
304,weekend,436,804.875,1314.8125
305,weekend,437,770.625,233.375
306,weekend,438,3121.375,2398.5625
307,weekend,439,3822.4375,3422.0
308,weekend,44,4107.25,6691.5625
309,weekend,440,2812.375,2793.5625
310,weekend,441,1961.1875,3639.25
311,weekend,442,673.3125,1338.0
312,weekend,443,530.0625,311.1875
313,weekend,444,858.1875,1779.25
314,weekend,445,372.3125,655.6875
315,weekend,446,346.5625,663.9375
316,weekend,447,16892.5625,22678.9375
317,weekend,448,1370.625,2499.0625
318,weekend,449,4267.3125,4325.5
319,weekend,45,972.875,1839.6875
320,weekend,450,7390.75,9585.0
321,weekend,451,8521.25,10014.625
322,weekend,452,5968.75,4217.375
323,weekend,453,5520.125,9481.625
324,weekend,455,1735.8125,2837.3125
325,weekend,456,5145.625,8083.6875
326,weekend,457,1581.4375,2510.375
327,weekend,458,3312.375,5280.4375
328,weekend,459,2110.6875,3364.8125
329,weekend,46,1668.4375,966.625
330,weekend,460,894.125,1194.0625
331,weekend,461,4259.875,2290.25
332,weekend,463,314.3125,568.6875
333,weekend,464,2040.0,3473.3125
334,weekend,47,2602.5625,3922.375
335,weekend,471,3654.9375,6270.5625
336,weekend,475,3968.0625,5823.1875
337,weekend,476,5687.75,8851.4375
338,weekend,477,5367.375,8638.8125
339,weekend,48,622.0,1079.4375
340,weekend,49,1521.1875,1203.8125
341,weekend,5,1541.75,3046.5
342,weekend,50,1343.9375,763.0625
343,weekend,501,1478.625,0.125
344,weekend,502,178.6875,0.0
345,weekend,51,4510.6875,5713.25
346,weekend,52,1932.4375,1024.0
347,weekend,53,960.8125,394.375
348,weekend,54,2669.5,4007.9375
349,weekend,55,2803.5,2352.3125
350,weekend,56,866.3125,735.125
351,weekend,57,567.5625,949.25
352,weekend,58,3950.625,5051.125
353,weekend,59,1774.0625,2589.4375
354,weekend,6,675.625,1452.9375
355,weekend,60,1041.1875,1070.8125
356,weekend,601,10502.9375,16331.6875
357,weekend,602,21404.9375,40012.6875
358,weekend,603,2588.75,3375.0625
359,weekend,604,5736.8125,6364.0
360,weekend,605,4914.625,6261.4375
361,weekend,606,4526.875,7232.375
362,weekend,607,25810.625,42626.125
363,weekend,608,3003.25,5309.875
364,weekend,609,7905.1875,13124.75
365,weekend,61,810.0,1058.375
366,weekend,610,19821.9375,34147.4375
367,weekend,611,46887.4375,74866.0625
368,weekend,612,3096.9375,6093.125
369,weekend,613,15129.0625,25195.0
370,weekend,614,16332.8125,23637.0625
371,weekend,615,1549.625,1679.9375
372,weekend,616,18405.5625,22999.6875
373,weekend,617,11642.8125,19942.0
374,weekend,618,11028.75,18491.75
375,weekend,619,8948.9375,16748.625
376,weekend,62,504.75,317.4375
377,weekend,620,5085.25,7091.0
378,weekend,621,3054.6875,4259.5625
379,weekend,622,4328.25,9261.6875
380,weekend,623,13837.375,18240.0625
381,weekend,624,9673.6875,14058.125
382,weekend,625,7405.4375,13380.9375
383,weekend,626,332.5625,1190.25
384,weekend,627,4485.9375,6760.1875
385,weekend,628,10577.375,13674.0
386,weekend,629,4011.375,8734.5
387,weekend,630,5084.75,6739.4375
388,weekend,635,6400.4375,9399.75
389,weekend,636,6166.1875,9396.125
390,weekend,64,1465.75,822.5625
391,weekend,65,1625.625,728.5625
392,weekend,66,1697.25,593.6875
393,weekend,67,1391.5,539.0625
394,weekend,68,2178.375,2963.25
395,weekend,69,1158.0625,468.5
396,weekend,70,739.8125,464.6875
397,weekend,71,3807.9375,5401.25
398,weekend,72,1694.375,1591.125
399,weekend,74,1631.875,2159.0625
400,weekend,75,1116.375,1413.4375
401,weekend,76,2296.5625,2356.25
402,weekend,77,1831.3125,2567.8125
403,weekend,78,1446.0625,1433.0
404,weekend,79,1018.8125,1424.125
405,weekend,8,3784.0,4624.625
406,weekend,80,449.1875,471.75
407,weekend,81,445.0,472.4375
408,weekend,82,509.8125,501.625
409,weekend,83,897.875,711.6875
410,weekend,84,728.75,537.5625
411,weekend,85,685.5625,657.625
412,weekend,86,251.9375,293.75
413,weekend,87,1234.9375,3183.5625
414,weekend,88,660.4375,1335.625
415,weekend,89,599.4375,1376.4375
416,weekend,9,8853.625,12676.125
417,weekend,90,710.8125,1335.4375
418,weekend,91,570.3125,888.1875
419,weekend,93,887.875,763.75
420,weekend,94,1447.1875,1431.125
421,weekend,95,1602.0625,1404.0625
422,weekend,96,1387.9375,1223.25
423,weekend,97,2410.5625,4097.6875
424,weekend,98,1948.3125,2469.0
425,weekend,99,1161.6875,1904.3125
